Transcription	stressInfoA	stressInfoB	Orthography	Frequency	PoSs
k.ɑ.ɹ.b.ɪ.n.eɪ.ʃ.ɪ.n	`_'_	S4	carbonation	0	(N)
k.ɑ.ɹ.b.ə.n.ɪ.f.ə.ɹ.ə.s	`_'__	S5	carboniferous	0	(AJ)
k.ɑ.ɹ.b.ɔɪ	'`	S2	carboy	0	(N)
k.ɑ.ɹ.b.ʌ.ŋ.k.l̩	'`_	S3	carbuncle	0	(N)
k.ɑ.ɹ.b.ɚ.eɪ.t.ɚ	'_`_	S4	carburetor	0	(N)
k.ɑ.ɹ.k.ɪ.s	'_	S2	carcass	7	(N)
k.ɑ.ɹ.s.ɪ.n.ɪ.dʒ.ɪ.n	_'__	S4	carcinogen	0	(N)
k.ɑ.ɹ.d	'	S1	card	29	(N VT)
k.ɑ.ɹ.d.i.æ.k	'_`	S3	cardiac	1	(AJ N)
k.ɑ.ɹ.d.ɪ.g.ɪ.n	'__	S3	cardigan	0	(N)
k.ɑ.ɹ.d.n.l̩	'_	S2	cardinal	14	(AJ N)
k.ɑ.ɹ.d.i.oʊ.v.æ.s.k.j.ʊ.l.ɚ	`__'__	S6	cardiovascular	1	(AJ)
k.ɛ.ɹ	'	S1	care	166	(N VI VT)
k.ɚ.i.n	_'	S2	careen	0	(N VT VI)
k.ɚ.ɪ.ɹ	_'	S2	career	68	(N VI)
k.ɛ.ɹ.f.ɹ.i	'`	S2	carefree	9	(AJ)
k.ɚ.ɛ.s	_'	S2	caress	1	(N VT)
k.æ.ɹ.ə.t	'_	S2	caret	0	(N)
k.ɛ.ɹ.t.eɪ.k.ɚ	'`_	S3	caretaker	1	(N)
k.ɑ.ɹ.f.æ.ɹ	'`	S2	carfare	0	(N)
k.ɑ.ɹ.g.oʊ	'`	S2	cargo	7	(N)
k.æ.ɹ.ə.b.u	'_`	S3	caribou	0	(N)
k.æ.ɹ.ɪ.k.ə.tʃ.ʊ.ɹ	'__`	S4	caricature	2	(N)
k.æ.ɹ.i.z	'_	S2	caries	0	(N)
k.æ.ɹ.ə.l.ɑ.n	'_`	S3	carillon	0	(N)
k.æ.ɹ.ə.l.ɑ.n.ɚ	`_`'	S4	carillonneur	0	(N)
k.ɑ.ɹ.l.oʊ.d	'`	S2	carload	4	(N)
k.ɑ.ɹ.m.ɪ.n.ɪ.t.ɪ.v	_'__	S4	carminative	0	(AJ)
k.ɑ.ɹ.m.ə.n	'_	S2	carmine	0	(N)
k.ɑ.ɹ.n.ɪ.dʒ	'_	S2	carnage	0	(N)
k.ɑ.ɹ.n.l̩	'_	S2	carnal	2	(AJ)
k.ɑ.ɹ.n.æ.l.ɪ.t.i	_'__	S4	carnality	1	(N)
k.ɑ.ɹ.n.l̩.i	'__	S3	carnally	0	(AV)
k.ɑ.ɹ.n.eɪ.ʃ.ɪ.n	_'_	S3	carnation	0	(N)
k.ɑ.ɹ.n.ɔ.b.ə	_'_	S3	carnauba	0	(N)
l.ɑ.ɹ.n.i.l.j.ə.n	_'_	S3	carnelian	0	(N)
k.ɑ.ɹ.n.ə.v.l̩	'__	S3	carnival	9	(N)
k.ɑ.ɹ.n.ɪ.v.ə.ɹ.ə	_'__	S4	carnivora	0	(N)
k.ɑ.ɹ.n.ə.v.oʊ.ɹ	'_`	S3	carnivore	0	(N)
k.ɑ.ɹ.n.ɪ.v.ɚ.ə.s	_'__	S4	carnivorous	0	(AJ)
k.æ.ɹ.l̩	'_	S2	carol	0	(N VI VT)
k.æ.ɹ.ṃ	'_	S2	carom	0	(N VI)
k.æ.ɹ.ə.t.i.n	'_`	S3	carotene	0	(N)
k.ɚ.aʊ.z.l̩	_'_	S3	carousal	0	(N)
k.ɚ.aʊ.z	_'	S2	carouse	0	(N VI VT)
k.æ.ɹ.ɪ.s.ɛ.l	`_'	S3	carousel	0	(null)
k.ɑ.ɹ.p	'	S1	carp	0	(VI N)
k.ɑ.ɹ.p.l̩	'_	S2	carpel	0	(N)
k.ɑ.ɹ.p.ə.n.t.ɚ	'__	S3	carpenter	7	(N)
k.ɑ.ɹ.p.ə.t	'_	S2	carpet	13	(N)
k.ɑ.ɹ.p.oʊ.ɹ.t	'`	S2	carport	2	(N)
k.æ.ɹ.ɛ.l	'_	S2	carrel	0	(N)
k.æ.ɹ.ɪ.dʒ	'_	S2	carriage	13	(N)
k.æ.ɹ.i.ɚ	'__	S3	carrier	11	(N)
k.æ.ɹ.i.ə.n	'__	S3	carrion	0	(N)
k.æ.ɹ.ə.t	'_	S2	carrot	1	(N)
k.æ.ɹ.i	'_	S2	carry	88	(VT VI N)
k.ɑ.ɹ.t	'	S1	cart	5	(N VT)
k.ɑ.ɹ.t.ɪ.dʒ	'_	S2	cartage	0	(N)
k.ɑ.ɹ.t.ɛ.l	_'	S2	cartel	0	(N)
k.ɑ.ɹ.t.l̩.ɪ.dʒ	'__	S3	cartilage	2	(N)
k.ɑ.ɹ.t.ə.l.æ.dʒ.ɪ.n.ɪ.s	`_'__	S5	cartilaginous	0	(AJ)
k.ɑ.ɹ.t.ɑ.g.ɹ.ə.f.i	_'__	S4	cartography	0	(N)
k.ɑ.ɹ.t.ṇ	'_	S2	carton	0	(N)
k.ɑ.ɹ.t.u.n	_'	S2	cartoon	3	(N)
k.ɑ.ɹ.t.ɹ.ɪ.dʒ	'_	S2	cartridge	6	(N)
k.ɑ.ɹ.t.h.w.i.l	'`	S2	cartwheel	0	(N)
k.ɑ.ɹ.v	'	S1	carve	3	(VT VI)
k.æ.ɹ.i.æ.t.ɪ.d	`_'_	S4	caryatid	0	(N)
k.ə.s.ɑ.b.ə	_'_	S3	casaba	0	(N)
k.æ.s.k.eɪ.d	_'	S2	cascade	1	(N VI VT)
k.æ.s.k.æ.ɹ.ə	_'_	S3	cascara	0	(N)
k.eɪ.s	'	S1	case	369	(N VT)
k.eɪ.s.i.n	_'	S2	casein	1	(N)
k.eɪ.s.m.ə.n.t	'_	S2	casement	0	(N)
k.æ.ʃ	'	S1	cash	34	(VT N)
k.æ.ʃ.u	'`	S2	cashew	0	(N)
k.æ.ʃ.ɪ.ɹ	_'	S2	cashier	0	(VT N)
k.æ.ʒ.m.ɪ.ɹ	'`	S2	cashmere	2	(N)
k.eɪ.s.ɪ.ŋ	'_	S2	casing	0	(N)
k.ɪ.s.i.n.oʊ	_'`	S3	casino	2	(N)
k.æ.s.k	'	S1	cask	1	(N)
k.æ.s.k.ɪ.t	'_	S2	casket	0	(N)
k.æ.s.k	'	S1	casque	0	(N)
k.ɪ.s.ɑ.v.ə	_'_	S3	cassava	0	(N)
k.æ.s.ɚ.oʊ.l	'_`	S3	casserole	0	(N)
k.ɪ.s.ɛ.t	_'	S2	cassette	0	(N)
k.æ.ʃ.ə	'_	S2	cassia	0	(N)
k.æ.s.ə.k	'_	S2	cassock	0	(N)
k.æ.s.t	'	S1	cast	48	(VT VI N)
k.æ.s.t.ə.n.ɛ.t.s	`_'	S3	castanets	1	(N)
k.æ.s.t.ə.w.eɪ	'_`	S3	castaway	0	(AJ)
k.æ.s.t	'	S1	caste	3	(N)
k.æ.s.t.ə.l.eɪ.t.ɪ.d	'_`_	S4	castellated	0	(AJ)
k.æ.s.t.ɪ.g.eɪ.t	'_`	S3	castigate	0	(VT)
k.æ.s.t.ɪ.g.eɪ.ʃ.ɪ.n	`_'_	S4	castigation	1	(N)
k.æ.s.t.ɪ.g.eɪ.t.ɚ	'_`_	S4	castigator	0	(N)
k.æ.s.l̩	'_	S2	castle	7	(N VT VI)
k.æ.s.l̩.d	'_	S2	castled	0	(AJ)
k.æ.s.t.ɚ	'_	S2	castor	2	(N)
k.æ.s.t.ɹ.eɪ.t	'`	S2	castrate	0	(VT)
k.æ.s.t.ɹ.eɪ.ʃ.ɪ.n	_'_	S3	castration	0	(N)
k.æ.ʒ.u.l̩	'__	S3	casual	22	(AJ N)
k.æ.ʒ.l̩.t.i	'__	S3	casualty	3	(N)
k.æ.ʒ.ʊ.ɪ.s.t.ɪ.k	`_'_	S4	casuistic	0	(AJ)
k.æ.ʒ.ʊ.ə.s.t.ɹ.i	'___	S4	casuistry	0	(N)
k.æ.t	'	S1	cat	24	(N VT TM)
k.æ.t.ɪ.k.l.ɪ.z.ṃ	'_`_	S4	cataclysm	0	(N)
k.æ.t.ɪ.k.l.ɪ.z.m.ɪ.k	`_'_	S4	cataclysmic	1	(AJ)
k.æ.t.ɪ.k.oʊ.m	'_`	S3	catacomb	0	(N)
k.æ.t.ə.l.ɛ.p.s.i	'_`_	S4	catalepsy	0	(N)
k.æ.t.ə.l.ɛ.p.t.ɪ.k	`_'_	S4	cataleptic	0	(AJ)
k.æ.t.ɪ.l.ɔ.g	'_`	S3	catalogue	8	(N VT)
k.ə.t.æ.l.p.ə	_'_	S3	catalpa	0	(N)
k.ə.t.æ.l.ə.s.ɪ.s	_'__	S4	catalysis	0	(N)
k.æ.t.l̩.ə.s.t	'__	S3	catalyst	3	(N)
k.æ.t.ə.m.ɚ.æ.n	`__'	S4	catamaran	0	(N)
k.æ.t.ə.m.aʊ.n.t	'_`	S3	catamount	0	(N)
k.æ.t.ə.p.ʊ.l.t	'_`	S3	catapult	0	(N VT)
k.æ.t.ɚ.æ.k.t	'_`	S3	cataract	0	(N)
k.ɪ.t.ɑ.ɹ	_'	S2	catarrh	0	(N)
k.ɪ.t.æ.s.t.ɹ.ə.f.i	_'_`	S4	catastrophe	11	(N)
k.æ.t.ɪ.s.t.ɹ.ɑ.f.ɪ.k	`_'_	S4	catastrophic	5	(AJ)
k.æ.t.b.ɚ.d	'`	S2	catbird	0	(N)
k.æ.tʃ	'	S1	catch	43	(VT VI N)
k.æ.tʃ.i	'_	S2	catchy	1	(AJ)
k.æ.t.ɪ.k.ɪ.z.ṃ	'_`_	S4	catechism	2	(N)
k.æ.t.ə.k.j.u.m.ə.n	`_'_	S4	catechumen	0	(N)
k.æ.t.ɪ.g.ɔ.ɹ.ɪ.k.l̩	`_'__	S5	categorical	3	(AJ)
k.æ.t.ɪ.g.ɚ.aɪ.z	'__`	S4	categorize	1	(VT)
k.eɪ.t.ɚ	'_	S2	cater	3	(VI)
k.æ.t.i.k.ɔ.ɹ.n.ɚ	`_'_	S4	catercorner	0	(AV)
k.æ.t.ɚ.p.ɪ.l.ɚ	'_`_	S4	caterpillar	1	(N TM)
k.æ.t.ɚ.w.ɔ.l	'_`	S3	caterwaul	0	(VI)
k.æ.t.f.ɪ.ʃ	'`	S2	catfish	2	(N)
k.ə.θ.ɑ.ɹ.t.ɪ.k	_'_	S3	cathartic	0	(AJ N)
k.ə.θ.i.d.ɹ.l̩	_'_	S3	cathedral	8	(AJ N)
k.æ.θ.ɪ.t.ɚ	'__	S3	catheter	2	(N)
k.æ.θ.oʊ.d	'`	S2	cathode	10	(N)
k.æ.θ.ɑ.d.ɪ.k	_'_	S3	cathodic	0	(AJ)
k.æ.θ.l̩.ɪ.k	'__	S3	catholic	86	(AJ N)
k.æ.θ.ə.l.ɪ.s.ɪ.t.i	`_'__	S5	catholicity	0	(N)
k.æ.t.k.ə.n	'_	S2	catkin	2	(N)
k.ɛ.tʃ.ə.p	'_	S2	catsup	3	(N)
k.æ.t.t.eɪ.l	'`	S2	cattail	0	(N)
k.æ.t.l̩	'_	S2	cattle	98	(N)
k.æ.t.i	'_	S2	catty	0	(N AJ)
k.æ.t.w.ɔ.k	'`	S2	catwalk	0	(N)
k.ɔ.k.ɪ.s	'_	S2	caucus	2	(N VI)
k.ɔ.d.l̩	'_	S2	caudal	0	(AJ)
k.ɔ.t	'	S1	caught	98	(null)
k.ɔ.l.ɪ.f.l.aʊ.ɚ	'_`_	S4	cauliflower	1	(N)
k.ɔ.k	'	S1	caulk	0	(VT)
k.ɔ.z.l̩	'_	S2	causal	6	(AJ)
k.ɔ.z.æ.l.ɪ.t.i	_'__	S4	causality	0	(N)
k.ɔ.z.l̩.i	'__	S3	causally	1	(AV)
k.ɔ.z.eɪ.ʃ.ɪ.n	_'_	S3	causation	0	(N)
k.ɔ.z.ɪ.t.ɪ.v	'__	S3	causative	1	(AJ)
k.ɔ.z	'	S1	cause	132	(N VT)
k.ɔ.z.w.eɪ	'`	S2	causeway	0	(N)
k.ɔ.s.t.ɪ.k	'_	S2	caustic	0	(AJ)
k.ɔ.t.ɚ.ə.z.eɪ.ʃ.ɪ.n	`__'_	S5	cauterization	0	(N)
k.ɔ.t.ɚ.aɪ.z	'_`	S3	cauterize	1	(VT)
k.ɔ.ʃ.ɪ.n	'_	S2	caution	19	(N VT)
k.ɔ.ʃ.ɪ.n.ɛ.ɹ.i	'_`_	S4	cautionary	0	(AJ)
k.ɔ.ʃ.ɪ.s	'_	S2	cautious	10	(AJ)
k.æ.v.l̩.k.eɪ.d	`_'	S3	cavalcade	0	(N)
k.æ.v.ə.l.ɪ.ɹ	`_'	S3	cavalier	0	(N AJ)
k.æ.v.l̩.ɹ.i	'__	S3	cavalry	26	(N)
k.eɪ.v	'	S1	cave	11	(N VI VT)
k.æ.v.i.ɑ.t	'_`	S3	caveat	1	(N)
k.æ.v.ɚ.n	'_	S2	cavern	1	(N VT)
k.æ.v.i.ɑ.ɹ	'_`	S3	caviare	0	(N)
k.æ.v.l̩	'_	S2	cavil	0	(VI VT)
k.æ.v.ə.t.i	'__	S3	cavity	12	(N)
k.ə.v.ɔ.ɹ.t	_'	S2	cavort	1	(VI)
k.eɪ.v.i	'_	S2	cavy	0	(N)
k.ɔ	'	S1	caw	0	(VI)
k.i	'	S1	cay	0	(N)
s.i.s	'	S1	cease	22	(VT VI N)
s.i.k.ṃ	'_	S2	cecum	0	(N)
s.i.d.ɚ	'_	S2	cedar	1	(N)
s.i.d	'	S1	cede	0	(VT)
s.i.l.ɪ.ŋ	'_	S2	ceiling	32	(N)
s.ɛ.l.ə.n.d.aɪ.n	'_`	S3	celandine	0	(N)
s.ɛ.l.ɪ.b.ɹ.eɪ.t	'_`	S3	celebrate	4	(VT VI)
s.ɛ.l.ɪ.b.ɹ.eɪ.t.ɪ.d	'_`_	S4	celebrated	14	(AJ)
s.ɛ.l.ɪ.b.ɹ.eɪ.ʃ.ɪ.n	`_'_	S4	celebration	15	(N)
s.ə.l.ɛ.b.ɹ.ə.t.i	_'__	S4	celebrity	3	(N)
s.ə.l.ɛ.ɹ.ə.t.i	_'__	S4	celerity	1	(N)
s.ɛ.l.ɚ.i	'__	S3	celery	4	(N)
s.ə.l.ɛ.s.tʃ.l̩	_'_	S3	celestial	8	(AJ N)
s.ɛ.l.ɪ.b.ə.s.i	'___	S4	celibacy	0	(N)
s.ɛ.l	'	S1	cell	73	(N)
s.ɛ.l.ɚ	'_	S2	cellar	26	(N)
s.ɛ.l.ə.ɹ.ɛ.t	`_'	S3	cellaret	0	(N)
tʃ.ɛ.l.ɪ.s.t	'_	S2	cellist	2	(N)
tʃ.ɛ.l.oʊ	'`	S2	cello	0	(N)
s.ɛ.l.ə.f.eɪ.n	'_`	S3	cellophane	1	(N)
s.ɛ.l.j.ʊ.l.ɚ	'__	S3	cellular	3	(AJ)
s.ɛ.l.j.ʊ.l.oʊ.s.ɪ.k	`_'_	S4	cellulosic	0	(AJ N)
s.ɛ.l.t	'	S1	celt	0	(N)
s.ɛ.l.t.ɪ.s	'_	S2	celtuce	0	(UNK)
tʃ.ɛ.m.b.ə.l.oʊ	'_`	S3	cembalo	0	(N)
s.ɪ.m.ɛ.n.t	_'	S2	cement	13	(N NIL VI)
s.ɛ.m.ə.t.ɛ.ɹ.i	'_`_	S4	cemetery	15	(N)
s.ɛ.n.ə.b.aɪ.t	'_`	S3	cenobite	0	(N)
s.ɛ.n.ə.b.ɪ.t.ɪ.k	`_'_	S4	cenobitic	0	(AJ)
s.ɛ.n.ə.t.æ.f	'_`	S3	cenotaph	0	(N)
s.ɛ.n.s.ɚ	'_	S2	censer	0	(N)
s.ɛ.n.s.ɚ	'_	S2	censor	0	(N VT)
s.ɛ.n.s.oʊ.ɹ.i.l̩	_'__	S4	censorial	1	(AJ)
s.ɛ.n.s.oʊ.ɹ.i.ə.s	_'__	S4	censorious	0	(AJ)
s.ɛ.n.s.ɚ.ʃ.ɪ.p	'_`	S3	censorship	5	(N)
s.ɛ.n.tʃ.ɚ	'_	S2	censure	3	(N VT)
s.ɛ.n.s.ɪ.s	'_	S2	census	12	(N)
s.ɛ.n.t	'	S1	cent	161	(N)
s.ɛ.n.t.ɔ.ɹ	'`	S2	centaur	0	(N)
s.ɛ.n.t.ɑ.v.oʊ	_'`	S3	centavo	0	(N)
s.ɛ.n.t.ṇ.ɛ.ɹ.i.ə.n	`_'__	S5	centenarian	0	(N)
s.ɛ.n.t.ɛ.n.ɚ.i	_'__	S4	centenary	1	(AJ)
s.ɛ.n.t.ɛ.n.i.l̩	_'__	S4	centennial	6	(N)
s.ɛ.n.t.ɚ	'_	S2	center	229	(N VI)
tʃ.ɛ.n.t.ɛ.z.ə.m.oʊ	_'_`	S4	centesimo	0	(null)
s.ɛ.n.t.ɪ.g.ɹ.eɪ.d	'_`	S3	centigrade	0	(AJ)
s.ɑ.n.t.i.m	'`	S2	centime	0	(null)
s.ɛ.n.t.ə.m.i.t.ɚ	'_`_	S4	centimeter	3	(null)
s.ɛ.n.t.ə.m.oʊ	'_`	S3	centimo	0	(null)
s.ɛ.n.t.ə.p.i.d	'_`	S3	centipede	0	(N)
s.ɛ.n.t.ɹ.l̩	'_	S2	central	169	(AJ N)
s.ɛ.n.t.ɹ.l̩.ə.z.eɪ.ʃ.ɪ.n	`__'_	S5	centralization	4	(N)
s.ɛ.n.t.ɹ.ə.l.aɪ.z	'_`	S3	centralize	0	(VT)
s.ɛ.n.t.ɹ.ə.l.aɪ.z.ɚ	'_`_	S4	centralizer	0	(N)
s.ɛ.n.t.ɚ	'_	S2	centre	2	(N VI)
s.ɛ.n.t.ɹ.ɪ.f.j.u.g.l̩	_'__	S4	centrifugal	1	(AJ N)
s.ɛ.n.t.ɹ.ə.f.j.u.dʒ	'_`	S3	centrifuge	2	(N VT)
s.ɛ.n.t.ɹ.ɪ.p.ə.t.l̩	_'__	S4	centripetal	0	(AJ)
s.ɛ.n.t.ɹ.ɪ.s.t	'_	S2	centrist	1	(N)
s.ɛ.n.t.ʊ.ɹ.i.ə.n	_'__	S4	centurion	0	(N)
s.ɛ.n.tʃ.ɚ.i	'__	S3	century	257	(N)
s.ə.f.æ.l.ɪ.k	_'_	S3	cephalic	0	(AJ)
s.ɚ.æ.m.ɪ.k	_'_	S3	ceramic	9	(AJ N)
s.ɚ.æ.m.ɪ.s.t	_'_	S3	ceramist	0	(N)
s.ɪ.ɹ.i.l̩	'__	S3	cereal	17	(AJ N)
s.ɛ.ɹ.ə.b.ɛ.l.ṃ	`_'_	S4	cerebellum	1	(N)
s.ɛ.ɹ.ə.b.ɹ.eɪ.t	'_`	S3	cerebrate	0	(VI)
s.ɛ.ɹ.ə.b.ɹ.eɪ.ʃ.ɪ.n	`_'_	S4	cerebration	0	(N)
s.ɚ.i.b.ɹ.ə.m	_'_	S3	cerebrum	0	(N)
s.ɪ.ɹ.k.l.ɔ.θ	'`	S2	cerecloth	0	(N)
s.ɛ.ɹ.ə.m.ə.n.t	'__	S3	cerement	0	(N)
s.ɛ.ɹ.ə.m.oʊ.n.i.l̩	`_'__	S5	ceremonial	3	(AJ N)
s.ɛ.ɹ.ə.m.oʊ.n.i	'_`_	S4	ceremony	18	(N)
s.ə.ɹ.i.s	_'	S2	cerise	0	(N)
s.ɪ.ɹ.i.ə.m	'__	S3	cerium	0	(N)
s.ɚ.t.ṇ	'_	S2	certain	313	(AJ PN)
s.ɚ.t.ɪ.f.ɪ.k.ɪ.t	`'__	S4	certificate	7	(N VT)
s.ɚ.t.ɪ.f.ə.k.eɪ.ʃ.ɪ.n	`__'_	S5	certification	3	(N)
s.ɚ.t.ɪ.f.aɪ	'_`	S3	certify	5	(VT)
s.ɚ.t.ɪ.t.u.d	'_`	S3	certitude	0	(N)
s.ə.ɹ.u.l.i.ə.n	_'__	S4	cerulean	1	(AJ)
s.ɪ.z.æ.ɹ.i.ə.n	_'__	S4	cesarian	0	(N)
s.i.z.i.ə.m	'__	S3	cesium	3	(N)
s.ɛ.s.eɪ.ʃ.ɪ.n	_'_	S3	cessation	1	(N)
s.ɛ.ʃ.ɪ.n	'_	S2	cession	1	(N)
s.ɛ.s.p.u.l	'`	S2	cesspool	0	(N)
tʃ.eɪ.f	'	S1	chafe	1	(VT VI N)
tʃ.eɪ.f.ɚ	'_	S2	chafer	0	(N)
tʃ.æ.f	'	S1	chaff	0	(N VB)
tʃ.æ.f.ɚ	'_	S2	chaffer	0	(N VI VT)
tʃ.æ.f.ɪ.n.tʃ	'`	S2	chaffinch	0	(N)
ʃ.ə.g.ɹ.ɪ.n	_'	S2	chagrin	4	(N VT)
tʃ.eɪ.n	'	S1	chain	52	(N VT)
tʃ.ɛ.ɹ	'	S1	chair	66	(N VT)
ʃ.eɪ.z	'	S1	chaise	1	(N)
k.æ.l.s.ɛ.d.ṇ.i	_'__	S4	chalcedony	0	(N)
ʃ.æ.l.eɪ	_'	S2	chalet	0	(N)
tʃ.æ.l.ə.s	'_	S2	chalice	0	(N)
tʃ.ɔ.k	'	S1	chalk	4	(N VT VI)
tʃ.ɔ.k.b.oʊ.ɹ.d	'`	S2	chalkboard	0	(N)
tʃ.æ.l.ɪ.n.dʒ	'_	S2	challenge	36	(VT VI N)
ʃ.æ.l.i	'_	S2	challis	0	(N)
k.æ.m	'	S1	cham	0	(null)
tʃ.eɪ.m.b.ɚ	'_	S2	chamber	47	(N VT AJ)
tʃ.eɪ.m.b.ɚ.l.ə.n	'__	S3	chamberlain	0	(N)
ʃ.æ.m.b.ɹ.eɪ	'`	S2	chambray	0	(N)
k.ə.m.i.l.j.ə.n	_'_	S3	chameleon	0	(N)
ʃ.æ.m.i	'_	S2	chamois	1	(N)
k.æ.m.ə.m.aɪ.l	'_`	S3	chamomile	0	(N)
tʃ.æ.m.p	'	S1	champ	0	(VT VI N)
ʃ.æ.m.p.eɪ.n	_'	S2	champagne	13	(N)
tʃ.æ.m.p.i.ə.n	'__	S3	champion	23	(N VT)
tʃ.æ.n.s	'	S1	chance	130	(N VI VT)
tʃ.æ.n.s.l̩	'_	S2	chancel	1	(N)
tʃ.æ.n.s.l̩.ɚ	'__	S3	chancellor	15	(N)
tʃ.æ.n.s.l̩.ɚ.i	'___	S4	chancellory	0	(N)
tʃ.æ.n.s.ə.ɹ.i	'__	S3	chancery	2	(N)
k.æ.ŋ.k.ɚ	'_	S2	chancre	0	(N)
tʃ.æ.n.s.i	'_	S2	chancy	0	(AJ)
ʃ.æ.n.d.ə.l.ɪ.ɹ	`_'	S3	chandelier	3	(N)
tʃ.æ.n.d.l.ɚ	'_	S2	chandler	32	(N)
tʃ.eɪ.n.dʒ	'	S1	change	242	(VT VI NIL N)
tʃ.eɪ.n.dʒ.l.ɪ.ŋ	'_	S2	changeling	0	(N)
tʃ.æ.n.l̩	'_	S2	channel	22	(VT N)
tʃ.æ.n.l̩.ə.z.eɪ.ʃ.ɪ.n	`__'_	S5	channelization	0	(N)
tʃ.æ.n.l̩.aɪ.z	'__	S3	channelize	0	(VT)
tʃ.æ.n.t	'	S1	chant	2	(VI VT N)
tʃ.æ.n.t.ə.k.l.ɪ.ɹ	`_'	S3	chanticleer	0	(N)
tʃ.æ.n.t.ɹ.i	'_	S2	chantry	0	(N)
ʃ.æ.n.t.i	'_	S2	chanty	0	(N)
k.eɪ.ɑ.s	'`	S2	chaos	17	(N)
k.eɪ.ɑ.t.ɪ.k	_'_	S3	chaotic	5	(AJ)
tʃ.æ.p	'	S1	chap	2	(VB N)
tʃ.æ.p.b.ʊ.k	'`	S2	chapbook	0	(N)
tʃ.æ.p.l̩	'_	S2	chapel	21	(N)
ʃ.æ.p.ɚ.oʊ.n	'_`	S3	chaperone	1	(N VT)
tʃ.æ.p.f.ɔ.l.ə.n	'`_	S3	chapfallen	0	(AJ)
tʃ.æ.p.l.ɪ.n	'_	S2	chaplain	5	(N)
tʃ.æ.p.l.ə.t	'_	S2	chaplet	0	(N)
tʃ.æ.p.m.ə.n	'_	S2	chapman	6	(N)
tʃ.æ.p.s	'	S1	chaps	1	(N)
tʃ.æ.p.t.ɚ	'_	S2	chapter	73	(N)
tʃ.ɑ.ɹ	'	S1	char	1	(VB VI N)
ʃ.æ.ɹ.ə.b.æ.ŋ	'_`	S3	charabanc	0	(N)
k.æ.ɹ.ə.k.t.ɚ	'__	S3	character	119	(N VT)
k.æ.ɹ.ə.k.t.ɚ.ɪ.s.t.ɪ.k	`__'_	S5	characteristic	68	(AJ N)
k.æ.ɹ.ɪ.k.t.ɚ.ə.z.eɪ.ʃ.ɪ.n	`___'_	S6	characterization	8	(N)
k.æ.ɹ.ɪ.k.t.ɚ.aɪ.z	'__`	S4	characterize	6	(VT)
k.æ.ɹ.ɪ.k.t.ə.ɹ.i	'___	S4	charactery	0	(N)
ʃ.ə.ɹ.eɪ.d.z	_'	S2	charades	0	(N)
tʃ.ɑ.ɹ.k.oʊ.l	'`	S2	charcoal	15	(N)
tʃ.ɑ.ɹ.d	'	S1	chard	0	(N)
tʃ.ɑ.ɹ.dʒ	'	S1	charge	126	(VT VI NIL)
tʃ.ɑ.ɹ.dʒ.ɚ	'_	S2	charger	0	(N)
tʃ.æ.ɹ.i.ə.t	'__	S3	chariot	3	(N VT)
tʃ.æ.ɹ.i.ə.t.ɪ.ɹ	`__'	S4	charioteer	0	(N)
k.æ.ɹ.ɪ.z.m.æ.t.ɪ.k	`_'_	S4	charismatic	0	(AJ)
tʃ.æ.ɹ.ə.t.ə.b.l̩	'___	S4	charitable	5	(AJ)
tʃ.æ.ɹ.ɪ.t.i	'__	S3	charity	8	(N)
tʃ.ɑ.ɹ.l.ɪ.t.ɪ.n	'__	S3	charlatan	0	(N)
tʃ.ɑ.ɹ.m	'	S1	charm	25	(N VT VI)
tʃ.ɑ.ɹ.n.l̩	'_	S2	charnel	0	(N)
tʃ.ɑ.ɹ.t	'	S1	chart	22	(N VT)
tʃ.ɑ.ɹ.t.ɚ	'_	S2	charter	33	(N VT)
ʃ.ɑ.ɹ.t.ɹ.u.z	_'	S2	chartreuse	0	(N)
tʃ.ɑ.ɹ.w.ʊ.m.ə.n	'`_	S3	charwoman	0	(N)
tʃ.æ.ɹ.i	'_	S2	chary	0	(AJ)
tʃ.eɪ.s	'	S1	chase	18	(VI VT N)
tʃ.eɪ.s.ɚ	'_	S2	chaser	0	(N)
k.æ.z.ṃ	'_	S2	chasm	2	(N)
tʃ.æ.s.i	'_	S2	chassis	1	(N)
tʃ.eɪ.s.t	'	S1	chaste	0	(AJ)
tʃ.eɪ.s.ṇ	'_	S2	chasten	0	(VT)
tʃ.æ.s.t.aɪ.z	_'	S2	chastise	0	(VT)
tʃ.æ.s.t.ɪ.t.i	'__	S3	chastity	2	(N)
tʃ.æ.z.ʊ.b.l̩	'__	S3	chasuble	0	(N)
tʃ.æ.t	'	S1	chat	5	(VI N)
ʃ.æ.t.oʊ	_'	S2	chateau	1	(N)
ʃ.æ.t.ə.l.eɪ.n	'_`	S3	chatelaine	0	(N)
tʃ.æ.t.l̩	'_	S2	chattel	0	(N)
tʃ.æ.t.ɚ	'_	S2	chatter	7	(VI VT)
tʃ.æ.t.ɚ.b.ɑ.k.s	'_`	S3	chatterbox	0	(N)
tʃ.æ.t.i	'_	S2	chatty	1	(AJ)
ʃ.oʊ.f.ɚ	'_	S2	chauffeur	6	(N VI VT)
tʃ.ɔ.n.t	'	S1	chaunt	0	(null)
ʃ.oʊ.v.ə.n.ɪ.z.ṃ	'_`_	S4	chauvinism	0	(N)
